Timestamp,X,Y,Z,Label
24:40.2,1.03,0.12,-9.82,
24:40.2,1.19,-0.21,-10.21,
24:40.2,1.94,-1.53,-9,
24:40.2,0.68,0.87,-9.83,
24:40.3,1.62,2.94,-9.96,
24:40.3,0.5,-0.3,-10.06,
24:40.3,0.66,-0.44,-9.91,
24:40.3,1.13,0.96,-10.47,
24:40.4,1.04,0.14,-9.7,
24:40.4,0.77,0.23,-9.85,
24:40.4,0.82,-0.04,-9.69,
24:40.4,1.26,-0.88,-9.28,
24:40.5,1.66,0.76,-10.13,
24:40.5,1.6,-0.83,-9.11,
24:40.5,1.56,-0.15,-9.04,
24:40.5,1.07,1.08,-9.88,
24:40.5,0.33,0.9,-10.58,
24:40.6,-0.67,-2.35,-9.86,
24:40.6,-0.65,-2.35,-9.88,
24:40.6,-0.74,-1.06,-10.37,
24:40.6,-0.28,-1.24,-9.96,
24:40.7,0.82,-0.54,-9.78,
24:40.7,1.18,-0.28,-9.63,
24:40.7,0.81,-0.5,-9.61,
24:40.7,0.42,-0.43,-10.04,
24:40.7,0.37,-0.82,-9.86,
24:40.8,0.09,-1.12,-9.92,
24:40.8,0.22,-1.25,-9.8,
24:40.8,0.61,-0.84,-9.68,
24:40.8,0.42,-0.97,-9.61,
24:40.9,0.38,-1.1,-9.47,
24:40.9,0.33,-0.77,-9.94,
24:40.9,0.06,-1.34,-9.68,
24:40.9,-0.07,-1.69,-9.16,
24:40.9,-0.38,-1.02,-9.67,
24:41.0,-0.27,-0.68,-9.83,
24:41.0,-0.29,-0.19,-10.23,
24:41.0,-0.52,-0.04,-10.18,
24:41.0,-0.97,-0.11,-10.12,
24:41.1,-1.3,-0.16,-10.22,
24:41.1,-1.25,-0.46,-10.03,
24:41.1,-0.98,-0.43,-9.93,
24:41.1,-0.85,-0.35,-9.82,
24:41.1,-0.69,0.01,-9.93,
24:41.2,-0.82,0.08,-9.96,
24:41.2,-0.99,-0.09,-9.96,
24:41.2,-0.84,-0.16,-9.85,
24:41.2,-0.88,-0.26,-9.86,
24:41.3,-1.06,-0.36,-9.94,
24:41.3,-1.07,-1.03,-9.9,
24:41.3,-0.59,-1.17,-10.05,
24:41.3,-0.01,2.3,-9.61,
24:41.3,-0.97,-0.53,-10.05,
24:41.4,-0.85,0.11,-10.05,
24:41.4,-0.64,0.31,-9.85,
24:41.4,-0.68,0.26,-9.82,
24:41.4,-0.6,0.13,-9.97,
24:41.5,-0.5,-0.02,-9.84,
24:41.5,-0.61,0.11,-9.87,
24:41.5,-0.74,0.26,-9.95,
24:41.5,-0.62,0.14,-9.92,
24:41.5,-0.53,0.07,-9.89,
24:41.6,-0.63,0.17,-9.86,
24:41.6,-0.72,0.24,-9.93,
24:41.6,-0.6,0.14,-9.91,
24:41.6,-0.54,0.11,-9.87,
24:41.7,-0.68,0.2,-9.91,
24:41.7,-0.67,0.2,-9.92,
24:41.7,-0.59,0.14,-9.91,
24:41.7,-0.61,0.18,-9.89,
24:41.7,-0.66,0.21,-9.92,
24:41.8,-0.62,0.18,-9.9,
24:41.8,-0.6,0.17,-9.89,
24:41.8,-0.6,0.16,-9.9,
24:41.8,-0.63,0.2,-9.9,
24:41.9,-0.6,0.19,-9.91,
24:41.9,-0.59,0.18,-9.89,
24:41.9,-0.62,0.19,-9.9,
24:41.9,-0.63,0.19,-9.9,
24:41.9,-0.78,0.23,-9.92,
24:42.0,-0.51,0.28,-9.94,
24:42.0,-0.37,0.08,-9.85,
24:42.0,-0.74,0.08,-9.84,
24:42.0,-0.69,0.36,-10.01,
24:42.1,-0.49,0.2,-9.89,
24:42.1,-0.58,0.06,-9.82,
24:42.1,-0.69,0.25,-9.95,
24:42.1,-0.64,0.32,-9.95,
24:42.2,-0.56,0.14,-9.87,
24:42.2,-0.55,0.12,-9.87,
24:42.2,-0.63,0.23,-9.9,
24:42.2,-0.64,0.25,-9.91,
24:42.2,-0.56,0.17,-9.9,
24:42.3,-0.59,0.18,-9.87,
24:42.3,-0.74,0.26,-9.9,
24:42.3,-0.58,0.27,-9.97,
24:42.3,-0.42,0.09,-9.85,
24:42.4,-0.61,0.12,-9.83,
24:42.4,-0.62,0.35,-9.98,
24:42.4,-0.74,0.27,-9.88,
24:42.4,-0.69,0.27,-9.89,
24:42.4,-0.53,0.14,-9.91,
24:42.5,-0.43,0.11,-9.84,
24:42.5,-0.5,0.19,-9.89,
24:42.5,-0.65,0.1,-9.91,
24:42.5,-0.66,0.21,-9.91,
24:42.6,-0.59,0.3,-9.91,
24:42.6,-0.69,0.28,-9.89,
24:42.6,-0.67,0.37,-9.94,
24:42.6,-0.48,0.28,-9.94,
24:42.6,-0.41,-0.04,-9.84,
24:42.7,-0.56,0.06,-9.83,
24:42.7,-0.71,0.34,-9.95,
24:42.7,-0.7,0.22,-9.95,
24:42.7,-0.53,0.05,-9.87,
24:42.8,-0.42,0.2,-9.86,
24:42.8,-0.59,0.25,-9.92,
24:42.8,-0.71,0.15,-9.95,
24:42.8,-0.52,0.12,-9.91,
24:42.8,-0.45,0.15,-9.85,
24:42.9,-0.66,0.27,-9.9,
24:42.9,-0.76,0.26,-9.98,
24:42.9,-0.48,0.14,-9.92,
24:42.9,-0.46,0.07,-9.8,
24:43.0,-0.69,0.32,-9.91,
24:43.0,-0.6,0.3,-10.03,
24:43.0,-0.49,0.06,-9.79,
24:43.0,-0.69,0.26,-9.88,
24:43.0,-0.73,0.37,-9.97,
24:43.1,-0.65,0.34,-9.98,
24:43.1,-0.54,0.21,-9.87,
24:43.1,-0.53,0.15,-9.93,
24:43.1,-0.51,0.16,-9.98,
24:43.2,-0.49,-0.46,-9.94,
24:43.2,-0.9,-0.85,-10.24,
24:43.2,-2.32,-2.11,-11.92,
24:43.2,-2.62,-2.17,-15.41,
24:43.2,-0.55,-0.21,-15.38,
24:43.3,0.5,0.3,-13.07,
24:43.3,0.16,-0.36,-11.43,
24:43.3,-0.25,-0.73,-11.21,
24:43.3,-1.58,-0.84,-11.9,
24:43.4,-1.77,-0.08,-12.15,
24:43.4,-1.79,0.19,-12.07,
24:43.4,-1.74,0.08,-12.27,
24:43.4,-1.16,-0.31,-11.98,
24:43.4,-1.05,-0.83,-11.71,
24:43.5,-1.18,-1.07,-11.92,
24:43.5,-1.07,-0.9,-11.99,
24:43.5,-0.67,-0.28,-12.1,
24:43.5,-0.34,0.36,-12.15,
24:43.6,-0.62,0.14,-11.95,
24:43.6,-0.79,-0.2,-11.82,
24:43.6,-0.75,-0.18,-11.5,
24:43.6,-0.95,0.12,-11.37,
24:43.6,-1.21,-0.02,-11.24,
24:43.7,-1.15,-0.51,-10.79,
24:43.7,-0.86,-0.68,-10.39,
24:43.7,-0.88,-0.06,-10.11,
24:43.7,-1.13,0.43,-10.09,
24:43.8,-1.04,0.37,-9.86,
24:43.8,-0.92,0.03,-9.43,
24:43.8,-0.75,-0.03,-9.19,
24:43.8,-0.58,0.29,-8.77,
24:43.9,-0.6,0.58,-8.34,
24:43.9,-0.62,0.66,-7.99,
24:43.9,-0.59,0.5,-7.46,
24:43.9,-0.43,0.4,-7.11,
24:43.9,-0.39,0.4,-6.94,
24:44.0,-0.58,0.63,-6.45,
24:44.0,-0.71,0.61,-6.35,
24:44.0,0.12,0.32,-6.39,
24:44.0,0.51,0.02,-6.35,
24:44.1,0.67,-0.44,-6.26,
24:44.1,0.46,-0.62,-6.42,
24:44.1,-0.29,-0.84,-7.1,
24:44.1,-0.45,-0.75,-7.81,
24:44.1,-0.18,-0.7,-8.11,
24:44.2,0.28,-0.8,-8.07,
24:44.2,-0.41,-0.84,-7.98,
24:44.2,-0.97,-0.51,-8.66,
24:44.2,-1.26,0.11,-9.34,
24:44.3,-1.42,0.78,-9.56,
24:44.3,-1.49,0.87,-9.44,
24:44.3,-1.77,0.76,-9.74,
24:44.3,-1.76,0.52,-9.63,
24:44.3,-1.63,0.18,-9.33,
24:44.4,-1.43,-0.3,-9.35,
24:44.4,-1.24,-0.87,-9.21,
24:44.4,-0.91,-1.11,-9.51,
24:44.4,-0.51,-0.95,-9.65,
24:44.5,-0.46,-0.78,-9.76,
24:44.5,-0.63,-0.66,-9.99,
24:44.5,-0.68,-0.62,-10.16,
24:44.5,-0.25,-0.6,-10.14,
24:44.5,-0.25,-0.46,-9.91,
24:44.6,-0.56,-0.08,-9.97,
24:44.6,-0.77,0.22,-9.97,
24:44.6,-0.84,-0.05,-9.82,
24:44.6,-0.91,-0.31,-9.72,
24:44.7,-0.98,-0.15,-9.73,
24:44.7,-1.04,-0.12,-9.68,
24:44.7,-1.05,-0.36,-9.54,
24:44.7,-1,-0.51,-9.6,
24:44.7,-0.86,-0.4,-9.87,
24:44.8,-0.92,-0.25,-9.74,
24:44.8,-1.03,-0.12,-9.47,
24:44.8,-0.98,-0.23,-9.22,
24:44.8,-0.81,-0.38,-8.83,
24:44.9,-0.83,-0.43,-8.44,
24:44.9,-0.77,-0.53,-8.34,
24:44.9,-0.56,-0.38,-8.05,
24:44.9,-0.48,0.1,-7.83,
24:44.9,-0.6,0.42,-7.83,
24:45.0,-0.79,0.53,-7.85,
24:45.0,-0.76,0.46,-7.67,
24:45.0,-0.64,0.13,-7.44,
24:45.0,-0.54,0,-7.47,
24:45.1,-0.49,0.12,-7.34,
24:45.1,-0.44,0.14,-7.31,
24:45.1,-0.3,0.08,-7.35,
24:45.1,-0.26,-0.03,-7.59,
24:45.1,-0.48,-0.02,-8.01,
24:45.2,-0.79,0.18,-8.16,
24:45.2,-1.06,0.18,-8.34,
24:45.2,-1.31,-0.16,-9.06,
24:45.2,-1.39,-0.34,-9.4,
24:45.3,-1.48,-0.29,-10.04,
24:45.3,-1.5,0.39,-10.59,
24:45.3,-1.4,0.62,-10.68,
24:45.3,-1.09,0.8,-10.72,
24:45.3,-0.85,0.52,-11,
24:45.4,-0.8,0.41,-11.08,
24:45.4,-0.7,0.35,-11.02,
24:45.4,-0.59,0.33,-10.91,
24:45.4,-0.55,0.33,-10.68,
24:45.5,-0.8,0.26,-10.93,
24:45.5,-0.93,0.25,-11.17,
24:45.5,-1.11,0.26,-11.73,
24:45.5,-1.25,0.35,-11.74,
24:45.6,-1.31,0.36,-11.72,
24:45.6,-1.38,0.2,-11.75,
24:45.6,-1.37,0.07,-11.9,
24:45.6,-1.26,0.05,-11.92,
24:45.6,-1.11,0.04,-11.83,
24:45.7,-1.03,0.09,-11.92,
24:45.7,-0.88,0.29,-12.16,
24:45.7,-0.72,0.55,-12.1,
24:45.7,-0.53,0.38,-11.94,
24:45.8,-0.45,0.27,-11.91,
24:45.8,-0.35,0.11,-12.04,
24:45.8,-0.6,0.03,-12.51,
24:45.8,-1.03,0.18,-13.54,
24:45.8,-1.48,0.12,-14.81,
24:45.9,-1.28,-0.18,-15.06,
24:45.9,-1.33,-0.09,-15.27,
24:45.9,-2.28,0.47,-16.77,
24:45.9,-2.65,0.07,-17.76,
24:46.0,-2.04,-0.46,-16.92,
24:46.0,-1.63,-0.19,-16.44,
24:46.0,-1.31,0.07,-16.16,
24:46.0,-1.2,0.33,-15.57,
24:46.0,-1.24,0.64,-14.56,
24:46.1,-1.01,1.55,-13.46,
24:46.1,-1.06,2.33,-12.67,
24:46.1,-2.18,2.39,-11.41,
24:46.1,-1.9,3.15,-10.27,
24:46.2,-1.49,3.07,-9.72,
24:46.2,-0.54,2.19,-7.54,
24:46.2,-0.96,1.93,-6.9,
24:46.2,-1.31,1.9,-6.73,
24:46.2,-1.39,2.23,-6.25,
24:46.3,-0.98,2.58,-5.69,
24:46.3,-0.93,2.65,-5.5,
24:46.3,-0.85,2.68,-5.2,
24:46.3,-0.82,2.24,-4.3,
24:46.4,-0.71,2.02,-3.82,
24:46.4,-0.31,1.81,-2.75,
24:46.4,0.2,1.83,-1.51,
24:46.4,0.27,1.66,-1.3,
24:46.4,0.45,1.36,-0.69,
24:46.5,1.22,2.14,-0.06,
24:46.5,1.27,2.57,-0.09,
24:46.5,0.88,2.45,-0.06,
24:46.5,0.45,2.87,-0.19,
24:46.6,0.05,3.42,-1.89,
24:46.6,0.1,4.16,-4.3,
24:46.6,-1.21,3.51,-5.51,
24:46.6,-1.71,2.94,-5.33,
24:46.6,-1.72,2.87,-6.3,
24:46.7,-1.77,2.36,-6.69,
24:46.7,-0.87,2.65,-7.56,
24:46.7,0.03,3.16,-7.64,
24:46.7,-0.62,1.42,-8.41,
24:46.8,-1.31,1.11,-9.23,
24:46.8,-1.36,3.14,-10.35,
24:46.8,-0.66,2.45,-10.83,
24:46.8,-0.92,1.37,-11,
24:46.8,-1.84,2.13,-11.61,
24:46.9,-1.03,2.26,-13.08,
24:46.9,-0.91,2.22,-13.26,
24:46.9,-1.43,1.49,-11.7,
24:46.9,-0.73,1.8,-12.24,
24:47.0,-0.73,2.06,-14.77,
24:47.0,-1.8,1.68,-14.42,
24:47.0,-1.43,0.78,-12.2,
24:47.0,-0.06,0.82,-12.05,
24:47.0,-0.06,1.68,-13.35,
24:47.1,-0.82,1.5,-13.2,
24:47.1,-0.67,0.94,-11.81,
24:47.1,-0.43,0.37,-11.24,
24:47.1,-0.68,0.5,-12.38,
24:47.2,-1.23,1.15,-12.89,
24:47.2,-1.35,1.65,-13.24,
24:47.2,-1.58,1.58,-14.29,
24:47.2,-1.89,1.14,-15.06,
24:47.3,-1.81,0.75,-15.19,
24:47.3,-1.66,0.44,-16.02,
24:47.3,-1.45,-0.14,-17.09,
24:47.3,-1.08,-0.4,-17.47,
24:47.3,-0.94,0.02,-17.65,
24:47.4,-0.88,0.46,-17.88,
24:47.4,-0.59,1.06,-17.56,
24:47.4,-0.95,1.99,-16.88,
24:47.4,-1.5,1.94,-15.43,
24:47.5,-2.18,2.47,-13.77,
24:47.5,-2.55,3.01,-12.35,
24:47.5,-2.15,2.91,-10.71,
24:47.5,-1.8,2.76,-9.4,
24:47.5,-1.41,2.92,-7.84,
24:47.6,-1.21,2.99,-6.9,
24:47.6,-1.14,3.14,-6.44,
24:47.6,-1.19,3.23,-6.05,
24:47.6,-1.21,3.09,-5.03,
24:47.7,-0.96,2.52,-4.21,
24:47.7,-0.79,2.31,-3.84,
24:47.7,-0.53,2.07,-3.24,
24:47.7,-0.22,1.76,-1.99,
24:47.7,-0.12,1.83,-1.68,
24:47.8,0.13,1.84,-1.29,
24:47.8,0.81,1.8,-0.56,
24:47.8,1.04,2.24,0.44,
24:47.8,1.11,2.64,0.91,
24:47.9,0.96,2.58,0.47,
24:47.9,0.96,2.44,-0.51,
24:47.9,0.49,2.38,-1.49,
24:47.9,-0.37,2.21,-3.07,
24:47.9,-0.53,2.72,-4.77,
24:48.0,-2.02,2.56,-4.94,
24:48.0,-2.5,2.92,-6.29,
24:48.0,-1.62,3.67,-6.65,
24:48.0,-0.7,4.29,-6.79,
24:48.1,-0.85,2.99,-7.12,
24:48.1,-1.51,1.77,-8.96,
24:48.1,-1.22,3.57,-10.28,
24:48.1,-1.36,3.41,-11.03,
24:48.1,-0.57,1.78,-11.1,
24:48.2,0.06,0.95,-11.1,
24:48.2,-0.22,2.78,-12.08,
24:48.2,-1.22,2.15,-14.22,
24:48.2,-1.49,1.94,-13.01,
24:48.3,-1.47,2.02,-12.95,
24:48.3,-0.59,2.77,-14.73,
24:48.3,-0.55,2.57,-15.15,
24:48.3,-1.19,1.53,-13.57,
24:48.3,-0.94,0.29,-12.3,
24:48.4,-0.58,1.53,-13.92,
24:48.4,-1.57,2.22,-14.83,
24:48.4,-1.14,0.74,-12.21,
24:48.4,-0.67,0.38,-11.55,
24:48.5,-0.4,0.16,-11.6,
24:48.5,-0.83,0.88,-11.77,
24:48.5,-0.89,1.26,-11.64,
24:48.5,-0.63,1.39,-11.63,
24:48.5,-1.21,1.73,-13.83,
24:48.6,-1.56,2.05,-14.72,
24:48.6,-1.88,2.1,-15.84,
24:48.6,-1.06,0.42,-16.69,
24:48.6,-0.59,-0.29,-16.84,
24:48.7,-0.41,-0.73,-16.6,
24:48.7,-1.45,-0.34,-17.09,
24:48.7,-1.38,0.05,-17.11,
24:48.7,-0.93,1.35,-16.31,
24:48.7,-1.64,2.7,-16.27,
24:48.8,-2.43,3.57,-15.73,
24:48.8,-2.52,3.65,-14.15,
24:48.8,-1.81,3.21,-11.48,
24:48.8,-1.45,2.65,-9.93,
24:48.9,-1.12,2.46,-8.72,
24:48.9,-0.59,2.58,-7.62,
24:48.9,-0.68,2.55,-7.07,
24:48.9,-1.16,2.66,-6.92,
24:49.0,-1.68,2.43,-6.41,
24:49.0,-1.35,2.76,-5.73,
24:49.0,-1.08,2.83,-5.44,
24:49.0,-0.33,2.61,-3.88,
24:49.0,-0.16,1.97,-2.83,
24:49.1,-0.13,1.8,-2.28,
24:49.1,-0.11,1.06,-0.88,
24:49.1,0.27,0.84,-0.47,
24:49.1,0.7,1.09,-0.37,
24:49.2,1.12,3.06,0.57,
24:49.2,0.79,3.2,0.69,
24:49.2,1.21,2.64,-1.65,
24:49.2,0.63,2.16,-2.16,
24:49.2,0.18,1.29,-2.97,
24:49.3,-0.42,1.74,-4.19,
24:49.3,-1.42,2.32,-4.98,
24:49.3,-2.02,2.71,-5.37,
24:49.3,-2.09,3.57,-6.16,
24:49.4,-2.16,3.95,-6.59,
24:49.4,-1.78,3.16,-6.89,
24:49.4,-1,3.01,-8.24,
24:49.4,-0.98,2.78,-8.91,
24:49.4,-0.46,3.21,-9.42,
24:49.5,-0.41,3.06,-10.13,
24:49.5,-0.23,2.68,-10.57,
24:49.5,-0.67,1.05,-11.24,
24:49.5,-1.04,2.42,-12.27,
24:49.6,-2.4,2.83,-14.41,
24:49.6,-0.74,1.96,-12.18,
24:49.6,-0.22,2.92,-13.28,
24:49.6,-0.49,2.64,-14.69,
24:49.6,-1.24,1.56,-13.43,
24:49.7,-0.64,0.56,-11.98,
24:49.7,0.4,1.57,-12.83,
24:49.7,-0.9,2.23,-14.23,
24:49.7,-1.82,1.5,-13.39,
24:49.8,-0.55,0.56,-11.78,
24:49.8,-0.01,0.47,-11.94,
24:49.8,-0.99,1.5,-12.57,
24:49.8,-1.87,2.18,-12.81,
24:49.8,-1.44,1.75,-12.99,
24:49.9,-0.46,1.22,-13.41,
24:49.9,-1.06,0.82,-13.83,
24:49.9,-1.8,1.15,-14.58,
24:49.9,-1.53,0.94,-15.83,
24:50.0,-1.15,0.15,-16.92,
24:50.0,-0.94,0.21,-17.44,
24:50.0,-1.19,0.26,-17.74,
24:50.0,-1.35,-0.12,-18,
24:50.0,-1.32,0.21,-17.68,
24:50.1,-1.75,2.16,-16.2,
24:50.1,-1.71,3.38,-15.01,
24:50.1,-1.59,3.83,-14.44,
24:50.1,-1.96,3.85,-12.47,
24:50.2,-2.13,2.98,-10.87,
24:50.2,-1.97,2.87,-9.16,
24:50.2,-1.61,2.78,-8.1,
24:50.2,-1.02,2.5,-7.14,
24:50.2,-0.49,2.51,-6.32,
24:50.3,-0.7,2.37,-5.43,
24:50.3,-1.15,2.37,-4.93,
24:50.3,-1.07,2.52,-4.36,
24:50.3,-0.58,2.57,-3.38,
24:50.4,0.24,2.01,-1.82,
24:50.4,0.1,1.56,-1.01,
24:50.4,0.09,1.28,-0.59,
24:50.4,0.31,1.1,0.44,
24:50.4,0.77,2.07,1.22,
24:50.5,1.08,2.83,1.18,
24:50.5,0.42,1.52,0.55,
24:50.5,0.2,1.01,0.07,
24:50.5,-0.15,0.58,-0.81,
24:50.6,-0.69,1.79,-3.59,
24:50.6,-1.1,2.14,-5.12,
24:50.6,-1.63,2.03,-4.46,
24:50.6,-1.51,4.96,-5.85,
24:50.6,-0.9,4.84,-6.53,
24:50.7,-0.64,3.33,-6.69,
24:50.7,-1.16,1.88,-7.91,
24:50.7,-0.98,2.31,-8.36,
24:50.7,-1.46,3.13,-10.49,
24:50.8,-1.65,2.88,-11.2,
24:50.8,-0.88,2.81,-11.03,
24:50.8,-1.2,3.18,-12.46,
24:50.8,-1.6,2.15,-13.22,
24:50.9,-1.2,1.31,-12.39,
24:50.9,-0.24,2.09,-12.33,
24:50.9,-0.72,3.68,-14.4,
24:50.9,-1.6,3.48,-15.46,
24:50.9,-1.28,1.35,-13.4,
24:51.0,-0.66,0.36,-11.95,
24:51.0,-0.36,1.72,-12.86,
24:51.0,-1.33,2.7,-14.39,
24:51.0,-1.23,1.77,-13.63,
24:51.1,-0.14,0.99,-12.14,
24:51.1,-0.18,0.76,-12.46,
24:51.1,-1.65,0.74,-12.79,
24:51.1,-1.88,0.89,-12.89,
24:51.1,-1.14,1.23,-12.7,
24:51.2,-0.82,0.76,-12.87,
24:51.2,-1.89,0.72,-13.9,
24:51.2,-1.89,0.72,-14.18,
24:51.2,-1.2,0.6,-14.61,
24:51.3,-0.91,0.62,-15.4,
24:51.3,-0.86,0.63,-16.92,
24:51.3,-0.98,0.74,-17.45,
24:51.3,-0.97,0.53,-17.48,
24:51.3,-0.68,0.53,-16.65,
24:51.4,-0.99,1.51,-16.19,
24:51.4,-1.61,2.23,-15.68,
24:51.4,-2.24,2.82,-14.56,
24:51.4,-2.58,3.29,-13.66,
24:51.5,-2.38,3.27,-11.5,
24:51.5,-2.12,3.09,-10.61,
24:51.5,-1.04,2.96,-8.77,
24:51.5,-0.8,2.91,-7.49,
24:51.5,-1.01,2.62,-6.69,
24:51.6,-0.98,2.59,-5.92,
24:51.6,-1.2,2.58,-5.33,
24:51.6,-1.05,2.88,-4.71,
24:51.6,-0.59,3.42,-3.69,
24:51.7,-0.49,2.71,-2.69,
24:51.7,-0.55,2.09,-1.57,
24:51.7,-0.24,1.48,-0.48,
24:51.7,0.18,0.77,0.41,
24:51.7,1.02,1.48,1.14,
24:51.8,1.31,2.2,1.53,
24:51.8,0.98,1.52,1.95,
24:51.8,0.81,1.23,0.56,
24:51.8,0.4,1.96,-0.76,
24:51.9,-0.11,2.26,-1.47,
24:51.9,-0.63,2.55,-3.95,
24:51.9,-1.52,2.09,-5.05,
24:51.9,-1.82,2.71,-5.26,
24:51.9,-1.08,4.8,-5.74,
24:52.0,-0.67,3.79,-6.01,
